"schema_version","artifact_set_id","source_snapshot_id","guide_fight_source_ordinal","guide_fight_row_key","stage_source_ordinal","stage_row_key","context_field_ordinal","field_path","semantic_role","en_observed_state","en_json_type","zh_observed_state","zh_json_type","en_stage_row_sha256","zh_compare_stage_row_sha256","en_zh_field_value_equal","source_value_copied","negative_boundary_code"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","0","Stage.Name","stage-label","present-nonempty","string","present-nonempty","string","1dc669e5321a634609e08f8255f1169fd2a4a5045e6c4cbaddd362767561ff1c","6642439ac5c499bbfa3e48837a6972f27ac47c1d4cd980617a5564025f804862","0","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","1","Stage.Description","stage-description","present-nonempty","string","present-nonempty","string","1dc669e5321a634609e08f8255f1169fd2a4a5045e6c4cbaddd362767561ff1c","6642439ac5c499bbfa3e48837a6972f27ac47c1d4cd980617a5564025f804862","0","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","2","Stage.RecommandLevel","recommended-level-shape","present-nonempty","number","present-nonempty","number","1dc669e5321a634609e08f8255f1169fd2a4a5045e6c4cbaddd362767561ff1c","6642439ac5c499bbfa3e48837a6972f27ac47c1d4cd980617a5564025f804862","1","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","3","Stage.RequireLevel","required-level-shape","present-nonempty","number","present-nonempty","number","1dc669e5321a634609e08f8255f1169fd2a4a5045e6c4cbaddd362767561ff1c","6642439ac5c499bbfa3e48837a6972f27ac47c1d4cd980617a5564025f804862","1","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","4","Stage.StarDesc","challenge-copy-shape","present-nonempty","string","present-nonempty","string","1dc669e5321a634609e08f8255f1169fd2a4a5045e6c4cbaddd362767561ff1c","6642439ac5c499bbfa3e48837a6972f27ac47c1d4cd980617a5564025f804862","0","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","0","Stage.Name","stage-label","present-nonempty","string","present-nonempty","string","d1f3da26a89670d8a924ebb5b1fe8941a2b8463ba8144bccc1d232adcf717b63","93a627a20c81dde6fd68a384590d30c1b9d5cbe618bde6bc6bb4648a50f04401","0","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","1","Stage.Description","stage-description","present-nonempty","string","present-nonempty","string","d1f3da26a89670d8a924ebb5b1fe8941a2b8463ba8144bccc1d232adcf717b63","93a627a20c81dde6fd68a384590d30c1b9d5cbe618bde6bc6bb4648a50f04401","0","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","2","Stage.RecommandLevel","recommended-level-shape","present-nonempty","number","present-nonempty","number","d1f3da26a89670d8a924ebb5b1fe8941a2b8463ba8144bccc1d232adcf717b63","93a627a20c81dde6fd68a384590d30c1b9d5cbe618bde6bc6bb4648a50f04401","1","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","3","Stage.RequireLevel","required-level-shape","present-nonempty","number","present-nonempty","number","d1f3da26a89670d8a924ebb5b1fe8941a2b8463ba8144bccc1d232adcf717b63","93a627a20c81dde6fd68a384590d30c1b9d5cbe618bde6bc6bb4648a50f04401","1","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","4","Stage.StarDesc","challenge-copy-shape","present-nonempty","string","present-nonempty","string","d1f3da26a89670d8a924ebb5b1fe8941a2b8463ba8144bccc1d232adcf717b63","93a627a20c81dde6fd68a384590d30c1b9d5cbe618bde6bc6bb4648a50f04401","0","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
